,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nyurba,98,RU,1605322890,95,63.28,118.33,12.83,4.68
1,Ushuaia,40,AR,1605322651,70,-54.8,-68.3,42.8,28.86
2,Avarua,58,CK,1605322698,69,-21.21,-159.78,78.8,6.93
3,Marrakesh,40,MA,1605322891,82,31.63,-8.01,64.4,4.7
4,Payo,100,ID,1605322891,58,-3.75,103.64,90.66,1.79
5,Waipawa,0,NZ,1605322891,63,-41.41,175.52,64.4,27.51
6,Lorengau,67,PG,1605322892,73,-2.02,147.27,84.97,7.63
7,Albany,49,US,1605322704,75,42.6,-73.97,44.01,5.03
8,Butaritari,59,KI,1605322892,67,3.07,172.79,81.68,8.7
9,Shache,65,CN,1605322892,46,38.42,77.24,41.83,5.28
10,La Ronge,100,CA,1605322893,92,55.1,-105.28,14.0,1.12
11,Mataura,95,NZ,1605322893,49,-46.19,168.86,68.0,15.01
12,Conceição da Barra,100,BR,1605322894,82,-18.59,-39.73,74.7,9.4
13,Deputatsky,0,RU,1605322894,88,69.3,139.9,-13.31,1.45
14,Hasaki,0,JP,1605322894,48,35.73,140.83,64.0,10.29
15,Rikitea,25,PF,1605322894,80,-23.12,-134.97,75.76,11.97
16,Yellowknife,90,CA,1605322681,77,62.46,-114.35,3.2,9.17
17,Vaini,75,TO,1605322895,78,-21.2,-175.2,82.4,9.17
18,Jamestown,90,US,1605322852,86,42.1,-79.24,42.01,4.7
19,Hermanus,82,ZA,1605322896,85,-34.42,19.23,59.0,1.01
20,Kalmunai,60,LK,1605322896,80,7.42,81.82,81.23,10.47
21,Lamesa,90,US,1605322896,58,32.74,-101.95,53.6,6.93
22,Busselton,23,AU,1605322897,58,-33.65,115.33,70.0,18.1
23,Bredasdorp,27,ZA,1605322897,87,-34.53,20.04,51.8,3.36
24,Beringovskiy,99,RU,1605322897,94,63.05,179.32,14.7,17.07
25,Vieques,40,PR,1605322898,83,18.43,-65.83,78.8,3.36
26,Saint George,1,US,1605322881,32,37.1,-113.58,53.6,0.94
27,Uvalde,40,US,1605322898,78,29.37,-99.77,73.0,4.7
28,Monduli,75,TZ,1605322899,93,-3.3,36.45,62.6,5.95
29,Khatanga,100,RU,1605322899,89,71.97,102.5,-15.83,7.78
30,Los Llanos de Aridane,75,ES,1605322899,94,28.66,-17.92,71.6,14.99
31,Cape Town,40,ZA,1605322844,77,-33.93,18.42,62.01,3.36
32,Ribeira Grande,83,PT,1605322900,89,38.52,-28.7,66.16,12.8
33,Saint-Philippe,0,RE,1605322900,73,-21.36,55.77,77.0,5.82
34,Bluff,98,NZ,1605322901,49,-46.6,168.33,68.0,15.01
35,Macao,20,MO,1605322744,64,22.2,113.55,77.0,14.99
36,Caibarién,20,CU,1605322901,94,22.52,-79.47,77.0,4.7
37,Namatanai,45,PG,1605322902,70,-3.67,152.43,85.21,7.4
38,Ginir,52,ET,1605322902,70,7.13,40.7,53.24,5.53
39,Chokurdakh,39,RU,1605322902,89,70.63,147.92,-17.19,4.21
40,Sayyan,7,YE,1605322903,64,15.17,44.32,43.32,3.2
41,Grindavik,75,IS,1605322903,80,63.84,-22.43,35.6,16.11
42,Eyl,47,SO,1605322903,78,7.98,49.82,76.05,9.26
43,Port Alfred,4,ZA,1605322904,72,-33.59,26.89,67.17,21.72
44,Berdigestyakh,100,RU,1605322904,96,62.1,126.7,15.22,3.38
45,Arlit,0,NE,1605322904,28,18.74,7.39,69.73,7.67
46,Ağdaş,90,AZ,1605322904,93,40.65,47.48,42.8,2.24
47,Plouzané,90,FR,1605322905,87,48.38,-4.62,57.2,19.46
48,Esperance,90,AU,1605322905,88,-33.87,121.9,62.6,14.99
49,Acapulco de Juárez,40,MX,1605322822,74,16.86,-99.89,84.2,3.36
50,East London,8,ZA,1605322906,68,-33.02,27.91,68.54,12.35
51,Pingdingshan,8,CN,1605322906,45,33.74,113.3,62.08,4.36
52,Hilo,90,US,1605322420,83,19.73,-155.09,75.2,4.7
53,Pevek,97,RU,1605322906,95,69.7,170.31,4.75,7.9
54,Chui,23,UY,1605322907,96,-33.7,-53.46,61.63,3.22
55,Bhālki,0,IN,1605322907,72,18.03,77.22,73.92,4.81
56,Coquimbo,4,CL,1605322907,76,-29.95,-71.34,57.2,5.82
57,Qaqortoq,100,GL,1605322908,61,60.72,-46.03,17.6,3.36
58,Arona,75,ES,1605322908,68,28.1,-16.68,73.99,5.82
59,Meulaboh,100,ID,1605322653,84,4.14,96.13,79.48,3.87
60,Saskylakh,84,RU,1605322908,90,71.92,114.08,-8.64,2.21
61,Buraidah,0,SA,1605322909,87,26.33,43.98,60.8,4.7
62,Bajil,11,YE,1605322909,82,15.06,43.29,76.5,2.1
63,Ngunguru,0,NZ,1605322909,64,-35.62,174.5,65.25,10.67
64,Boende,95,CD,1605322909,98,-0.22,20.87,69.75,1.07
65,Rincon,1,US,1605322699,88,32.3,-81.24,68.0,3.36
66,Hithadhoo,100,MV,1605322910,77,-0.6,73.08,82.92,18.9
67,Ubari,0,LY,1605322910,62,26.59,12.78,55.74,6.67
68,Saint-François,90,FR,1605322911,100,46.42,3.91,41.0,2.24
69,Half Moon Bay,90,US,1605322911,100,37.46,-122.43,57.99,8.05
70,New Norfolk,72,AU,1605322912,55,-42.78,147.06,68.0,4.0
71,Severo-Kuril'sk,99,RU,1605322912,92,50.68,156.12,43.61,15.93
72,Coromandel,96,BR,1605322912,91,-18.47,-47.2,67.1,2.28
73,Atuona,25,PF,1605322913,77,-9.8,-139.03,77.65,16.24
74,Christchurch,5,NZ,1605322913,24,-43.53,172.63,78.8,13.87
75,Upernavik,100,GL,1605322913,93,72.79,-56.15,16.75,11.16
76,Carballo,75,ES,1605322913,72,43.21,-8.69,60.8,10.29
77,Alta Floresta,100,BR,1605322794,93,-9.88,-56.09,70.59,1.97
78,São Filipe,16,CV,1605322914,67,14.9,-24.5,80.19,4.29
79,Verkhnevilyuysk,94,RU,1605322915,96,63.45,120.32,13.51,2.8
80,Hobart,75,AU,1605322785,42,-42.88,147.33,68.0,10.29
81,Yangjiang,94,CN,1605322915,37,21.85,111.97,80.01,10.56
82,Jiuquan,11,CN,1605322916,57,39.74,98.52,42.58,3.74
83,Haukipudas,90,FI,1605322916,77,65.18,25.35,37.4,8.05
84,Makat,35,KZ,1605322916,93,47.65,53.35,27.73,8.66
85,Belyy Yar,0,RU,1605322917,85,53.6,91.39,15.8,2.95
86,Muli,100,MV,1605322917,78,2.92,73.57,82.31,10.51
87,Port Elizabeth,90,ZA,1605322918,93,-33.92,25.57,62.6,17.22
88,Katsuura,0,JP,1605322918,45,35.13,140.3,64.4,12.75
89,Sarangani,87,PH,1605322918,75,5.4,125.46,84.2,18.79
90,San Miguel de Tucumán,40,AR,1605322798,73,-26.82,-65.22,77.0,13.87
91,Sokolovyy,78,RU,1605322919,76,51.57,45.83,32.0,8.99
92,San Patricio,40,US,1605322919,88,28.02,-97.52,75.2,9.17
93,Baykit,91,RU,1605322919,92,61.67,96.37,9.77,4.16
94,La Unión,60,PE,1605322920,78,-5.4,-80.75,64.71,10.4
95,Saint Paul Harbor,20,US,1605322920,47,57.79,-152.41,37.4,6.93
96,San Ramon,90,US,1605322921,100,37.78,-121.98,55.99,5.82
97,Punta Arenas,40,CL,1605322921,86,-53.15,-70.92,39.2,23.04
98,Bol'shoye Selo,100,RU,1605322922,97,57.72,38.93,32.59,2.19
99,Freeport,1,US,1605322922,87,40.66,-73.58,46.99,4.7
100,Tuktoyaktuk,90,CA,1605322922,84,69.45,-133.04,-0.4,16.11
101,Gympie,0,AU,1605322880,49,-26.19,152.66,89.01,3.0
102,Nikolskoye,75,RU,1605322922,95,59.7,30.79,33.01,4.47
103,Prainha,90,BR,1605322923,90,-1.8,-53.48,75.27,2.19
104,Beloha,0,MG,1605322923,82,-25.17,45.05,64.26,11.23
105,Cidreira,0,BR,1605322923,93,-30.18,-50.21,69.39,11.39
106,Nicoya,0,CR,1605322923,94,10.15,-85.45,77.0,5.82
107,Kavieng,51,PG,1605322924,76,-2.57,150.8,84.38,11.16
108,Wetaskiwin,100,CA,1605322924,85,52.97,-113.37,24.01,3.36
109,Hobyo,69,SO,1605322924,74,5.35,48.53,78.26,13.35
110,Alta,61,NO,1605322925,81,69.97,23.27,33.01,27.51
111,Airai,0,TL,1605322925,39,-8.93,125.41,82.17,3.85
112,Dutlwe,76,BW,1605322925,45,-23.98,23.9,70.83,11.25
113,Burriana,98,ES,1605322926,91,39.89,-0.09,57.0,2.19
114,Dingle,12,PH,1605322926,75,11.0,122.67,86.05,11.74
115,Grand Gaube,0,MU,1605322926,85,-20.01,57.66,75.99,5.39
116,Kailua,75,US,1605322752,74,21.4,-157.74,79.0,12.75
117,Provideniya,0,RU,1605322927,90,64.38,-173.3,19.78,9.44
118,Kapaa,20,US,1605322927,74,22.08,-159.32,80.6,16.11
119,Polyarnyye Zori,100,RU,1605322927,100,67.37,32.5,33.01,6.15
120,Castro,5,BR,1605322847,94,-24.79,-50.01,61.48,3.94
121,Shaunavon,100,CA,1605322928,74,49.65,-108.42,30.2,16.11
122,Hofn,87,IS,1605322928,69,64.25,-15.21,40.51,12.66
123,Dongsheng,70,CN,1605322928,56,39.82,109.98,46.24,15.5
124,Bintulu,40,MY,1605322928,83,3.17,113.03,84.2,3.36
125,Zhezkazgan,90,KZ,1605322929,85,47.8,67.71,24.8,17.9
126,Ponta do Sol,40,PT,1605322929,94,32.67,-17.1,69.8,12.75
127,Çorum Province,16,TR,1605322929,69,40.5,34.75,37.96,1.45
128,Caravelas,98,BR,1605322930,85,-17.71,-39.25,74.84,9.62
129,Kresttsy,100,RU,1605322931,92,58.25,32.52,35.78,1.81
130,Yumen,55,CN,1605322931,58,40.28,97.2,40.68,12.12
131,Bubaque,0,GW,1605322931,67,11.28,-15.83,84.06,7.85
132,Ishigaki,75,JP,1605322931,73,24.34,124.16,75.2,23.04
133,Bowen,53,AU,1605322932,46,-20.02,148.23,91.4,10.29
134,Goundam,0,ML,1605322932,20,16.41,-3.67,74.19,9.75
135,Aklavik,0,CA,1605322932,83,68.22,-135.01,-2.2,3.36
136,Anklam,98,DE,1605322933,93,53.86,13.69,46.0,1.99
137,Denpasar,40,ID,1605322933,74,-8.65,115.22,87.8,10.29
138,Wasilla,90,US,1605322858,92,61.58,-149.44,28.99,1.36
139,Cuenca,75,EC,1605322805,54,-2.88,-78.98,55.4,5.82
140,Zhigansk,87,RU,1605322934,95,66.77,123.37,9.1,4.0
141,Garden City,75,US,1605322802,59,42.33,-83.33,37.4,10.29
142,Atkinson,40,US,1605322934,93,42.84,-71.15,39.2,4.54
143,Chalmette,1,US,1605322935,56,29.94,-89.96,69.8,3.36
144,Bambous Virieux,75,MU,1605322935,94,-20.34,57.76,75.99,8.05
145,Mkushi,100,ZM,1605322935,77,-13.62,29.39,63.23,6.82
146,Aasiaat,99,GL,1605322936,92,68.71,-52.87,18.72,9.22
147,Kaitangata,92,NZ,1605322936,42,-46.28,169.85,69.12,4.99
148,Codrington,88,AU,1605322936,67,-38.27,141.97,58.93,9.13
149,Bonthe,0,SL,1605322936,86,7.53,-12.51,77.79,0.94
150,Vostok,7,RU,1605322937,94,46.49,135.88,31.26,3.42
151,Makeni,0,SL,1605322937,74,8.88,-12.05,68.63,1.66
152,Cessnock,0,AU,1605322937,32,-32.83,151.35,84.99,1.99
153,Faya,0,SA,1605322938,47,18.39,42.45,57.2,1.05
154,Thompson,90,CA,1605322808,100,55.74,-97.86,17.6,5.82
155,Salinópolis,100,BR,1605322938,79,-0.61,-47.36,80.69,10.71
156,Brazzaville,20,CG,1605322938,94,-4.27,15.28,75.2,4.05
157,Torbay,75,CA,1605322939,86,47.67,-52.73,37.99,2.24
158,Bengkulu,85,ID,1605322939,64,-3.8,102.27,86.02,1.7
159,Guerrero Negro,0,MX,1605322939,73,27.98,-114.06,63.75,12.64
160,Sept-Îles,75,CA,1605322940,83,50.2,-66.38,34.0,6.93
161,Barcelos,75,PT,1605322940,82,41.54,-8.62,57.2,8.05
162,Tsiroanomandidy,0,MG,1605322940,75,-18.77,46.03,69.8,3.33
163,Noumea,40,NC,1605322864,52,-22.28,166.46,91.4,11.41
164,Roman,20,RO,1605322941,92,46.92,26.92,42.8,3.36
165,Ranot,100,TH,1605322941,74,7.78,100.32,83.44,11.48
166,Mehamn,1,NO,1605322942,88,71.04,27.85,34.11,11.12
167,Peniche,89,PT,1605322942,88,39.36,-9.38,62.01,3.0
168,Sorochinsk,25,RU,1605322942,97,52.43,53.16,18.72,5.48
169,Nanning,0,CN,1605322943,46,22.82,108.32,71.6,6.71
170,Comodoro Rivadavia,0,AR,1605322943,37,-45.87,-67.5,66.2,16.11
171,Nishihara,75,JP,1605322943,83,26.18,127.76,78.8,8.05
172,Ulaangom,90,MN,1605322944,88,49.98,92.07,26.73,1.92
173,Dikson,100,RU,1605322944,94,73.51,80.55,4.69,22.95
174,Belmonte,40,BR,1605322944,78,-15.86,-38.88,77.0,5.82
175,Leningradskiy,75,RU,1605322945,90,69.38,178.42,7.47,12.35
176,Qaanaaq,76,GL,1605322945,76,77.48,-69.36,1.69,5.99
177,Haines Junction,98,CA,1605322945,92,60.75,-137.51,12.2,1.12
178,Barrow,90,US,1605322872,73,71.29,-156.79,19.4,14.99
179,Serowe,12,BW,1605322946,69,-22.38,26.72,65.8,5.08
180,Vanimo,59,PG,1605322946,71,-2.67,141.3,85.1,5.48
181,Oussouye,0,SN,1605322946,50,12.48,-16.55,76.46,4.68
182,Bac Lieu,94,VN,1605322946,67,9.29,105.72,83.03,6.64
183,Kahului,40,US,1605322802,54,20.89,-156.47,82.4,23.04
184,Strelka,99,RU,1605322947,96,58.07,93.03,21.83,4.94
185,Bukama,100,CD,1605322947,94,-9.2,25.85,70.0,2.01
186,Copiapó,13,CL,1605322947,82,-27.37,-70.33,57.2,13.87
187,Farah,100,AF,1605322947,82,32.5,62.5,47.39,4.41
188,Souillac,75,MU,1605322948,94,-20.52,57.52,73.4,8.05
189,Byron Bay,0,AU,1605322948,58,-28.65,153.62,93.0,18.34
190,Ruska Poliana,57,UA,1605322948,91,49.42,31.92,32.41,3.6
191,Sobolevo,100,RU,1605322949,96,54.43,31.9,29.05,7.52
192,Mastic Beach,1,US,1605322949,87,40.77,-72.85,46.4,6.93
193,Poum,7,NC,1605322950,83,-20.23,164.02,77.68,17.85
194,Bar Harbor,90,US,1605322818,100,44.39,-68.2,41.0,6.93
195,Fortuna,75,US,1605322855,100,40.6,-124.16,50.0,4.7
196,Tiksi,96,RU,1605322950,92,71.69,128.87,-5.91,2.89
197,Cabo San Lucas,20,MX,1605322732,56,22.89,-109.91,75.2,10.29
198,Tasiilaq,100,GL,1605322951,52,65.61,-37.64,19.4,4.7
199,Bridlington,100,GB,1605322951,87,54.08,-0.19,46.4,9.17
200,Vardø,30,NO,1605322951,84,70.37,31.11,36.23,26.31
201,Oskaloosa,1,US,1605322952,80,41.3,-92.64,33.8,8.05
202,Eyrarbakki,40,IS,1605322952,74,63.86,-21.15,35.6,8.05
203,Lebu,17,CL,1605322952,89,-37.62,-73.65,50.94,9.06
204,Longyearbyen,75,SJ,1605322953,80,78.22,15.64,30.2,5.82
205,Puerto Ayora,67,EC,1605322953,89,-0.74,-90.35,70.0,7.0
206,Khovd,6,MN,1605322953,65,48.01,91.64,34.77,5.32
207,Ola,100,RU,1605322954,93,59.58,151.28,20.43,19.8
208,Clyde River,90,CA,1605322954,72,70.47,-68.59,14.0,16.11
209,Port Hedland,0,AU,1605322954,28,-20.32,118.57,96.8,18.34
210,São João da Barra,100,BR,1605322955,96,-21.64,-41.05,73.04,8.39
211,Merrill,1,US,1605322955,73,45.18,-89.68,24.8,3.36
212,Calca,42,PE,1605322955,62,-13.33,-71.95,55.9,2.57
213,Margate,100,GB,1605322660,78,51.38,1.39,51.01,1.01
214,Huarmey,70,PE,1605322956,85,-10.07,-78.15,63.21,8.43
215,Walvis Bay,3,NA,1605322956,87,-22.96,14.51,61.0,3.36
216,Saint-Pierre,0,RE,1605322957,73,-21.34,55.48,77.0,5.82
217,Touros,40,BR,1605322957,88,-5.2,-35.46,77.0,6.93
218,Laguna,90,US,1605322957,87,38.42,-121.42,53.6,8.05
219,Vestmannaeyjar,0,IS,1605322865,78,63.44,-20.27,37.51,21.85
220,Port Lincoln,4,AU,1605322958,56,-34.73,135.87,68.36,11.36
221,Skibbereen,75,IE,1605322958,100,51.55,-9.27,48.2,12.75
222,Csemő,90,HU,1605322959,81,47.12,19.69,45.0,2.24
223,Constitución,15,CL,1605322959,87,-35.33,-72.42,52.39,7.96
224,Kosa,11,RU,1605322960,95,59.94,55.0,6.42,4.14
225,San Quintín,0,MX,1605322960,72,30.48,-115.95,61.99,13.67
226,Payakumbuh,92,ID,1605322960,63,-0.22,100.63,83.84,2.48
227,Huanren,0,CN,1605322961,47,41.26,125.37,49.1,4.0
228,Orica,2,HN,1605322961,88,14.7,-86.95,66.11,2.8
229,Sitka,90,US,1605322961,86,57.05,-135.33,37.4,6.04
230,Swellendam,52,ZA,1605322961,87,-34.02,20.44,51.8,3.36
231,Bandarbeyla,76,SO,1605322962,79,9.49,50.81,75.16,17.49
232,Kirakira,23,SB,1605322962,68,-10.45,161.92,85.84,3.74
233,Dongying,100,CN,1605322962,49,37.46,118.49,60.82,6.11
234,Lagoa,98,PT,1605322962,91,39.05,-27.98,65.84,16.4
235,Birin,0,NP,1605322963,59,26.89,88.07,62.62,2.21
236,Weyburn,100,CA,1605322963,79,49.67,-103.85,28.4,19.46
237,Ancud,20,CL,1605322963,81,-41.87,-73.82,48.2,3.36
238,Champerico,0,GT,1605322964,97,14.3,-91.92,68.0,4.88
239,Bambamarca,82,PE,1605322964,73,-6.68,-78.53,54.72,2.86
240,Kindu,100,CD,1605322964,95,-2.95,25.95,66.92,1.16
241,Masuda,20,JP,1605322964,63,34.67,131.85,62.6,6.93
242,Taltal,7,CL,1605322861,74,-25.4,-70.48,57.38,3.02
243,Athabasca,100,CA,1605322965,85,54.72,-113.29,15.8,1.12
244,Nianzishan,0,CN,1605322965,80,47.52,122.88,44.01,8.01
245,Maţāy,0,EG,1605322965,87,28.42,30.78,61.63,11.03
246,Arraial do Cabo,100,BR,1605322966,94,-22.97,-42.03,73.33,4.83
247,The Valley,20,AI,1605322966,78,18.22,-63.06,80.6,11.41
248,Zvenyhorodka,92,UA,1605322966,76,49.08,30.97,37.53,4.27
249,Port Hardy,75,CA,1605322966,86,50.7,-127.42,42.8,8.05
250,Langxiang,0,CN,1605322967,63,46.95,128.88,41.45,3.65
251,Cherskiy,100,RU,1605322967,88,68.75,161.3,-8.34,6.69
252,Sulangan,0,PH,1605322967,75,11.14,123.72,83.98,9.42
253,Bam,92,IR,1605322967,75,29.11,58.36,52.16,11.3
254,Batagay-Alyta,86,RU,1605322968,89,67.8,130.41,-5.51,1.77
255,Yuanping,75,CN,1605322968,43,38.72,112.76,51.33,3.0
256,Ayan,88,RU,1605322968,94,56.45,138.17,25.36,0.69
257,Swan Hill,0,AU,1605322968,29,-35.34,143.55,74.75,9.75
258,Alyangula,0,AU,1605322969,44,-13.85,136.42,95.0,11.41
259,Ferme-Neuve,0,CA,1605322969,86,46.7,-75.45,30.2,1.12
260,Brae,20,GB,1605322970,76,60.4,-1.35,48.2,23.04
261,Wakkanai,75,JP,1605322970,70,45.41,141.67,42.8,24.16
262,Mount Gambier,75,AU,1605322970,59,-37.83,140.77,64.4,8.05
263,Pacifica,90,US,1605322865,82,37.61,-122.49,57.2,13.87
264,Manono,88,CD,1605322970,95,-7.3,27.42,69.55,1.07
265,High Level,75,CA,1605322971,100,58.52,-117.14,15.8,16.11
266,Lüderitz,70,NA,1605322971,91,-26.65,15.16,57.18,4.36
267,Batemans Bay,49,AU,1605322842,53,-35.72,150.18,73.0,5.01
268,Koróni,20,GR,1605322819,93,36.8,21.95,57.99,5.82
269,Kaeo,0,NZ,1605322972,52,-35.1,173.78,69.22,7.9
270,San Policarpo,1,PH,1605322973,84,12.18,125.51,83.48,11.34
271,Tomatlán,3,MX,1605322973,93,19.93,-105.25,72.27,2.33
272,Mar del Plata,0,AR,1605322973,88,-38.0,-57.56,64.99,6.93
273,Srednekolymsk,99,RU,1605322973,88,67.45,153.68,-6.18,1.5
274,Bilibino,100,RU,1605322974,87,68.05,166.44,-10.97,1.3
275,Portland,47,US,1605322325,86,45.52,-122.68,45.0,1.99
276,Gīdolē,3,ET,1605322974,98,5.65,37.37,55.47,3.04
277,Nagybajom,90,HU,1605322974,100,46.39,17.51,44.6,3.36
278,Kimbe,76,PG,1605322975,76,-5.55,150.14,85.3,3.44
279,Chicama,84,PE,1605322975,84,-7.84,-79.15,62.91,6.29
280,Mareeba,29,AU,1605322794,58,-17.0,145.43,91.0,10.29
281,Séguéla,60,CI,1605322698,52,7.96,-6.67,69.6,2.06
282,Yar-Sale,0,RU,1605322976,91,66.83,70.83,-4.4,4.34
283,Yugo-Kamskiy,40,RU,1605322976,85,57.71,55.59,17.6,4.47
284,Micheldorf,75,AT,1605322976,93,46.92,14.44,37.4,2.24
285,Miraflores,5,MX,1605322976,30,19.22,-98.81,69.8,6.93
286,Luanda,100,AO,1605322805,79,-8.84,13.23,77.23,5.77
287,Khon Buri,99,TH,1605322977,86,14.53,102.25,75.99,10.8
288,Shumerlya,64,RU,1605322977,98,55.5,46.41,27.41,3.67
289,Ardakān,90,IR,1605322977,87,32.31,54.02,46.4,6.93
290,Iqaluit,90,CA,1605322917,67,63.75,-68.51,17.6,5.82
291,Banjar,40,ID,1605322978,74,-8.19,114.97,87.8,10.29
292,Geraldton,75,AU,1605322978,64,-28.77,114.6,71.6,12.75
293,Mizdah,0,LY,1605322978,85,31.45,12.98,53.02,2.24
294,Inzhavino,100,RU,1605322979,94,52.32,42.49,33.28,5.32
295,Urgut,90,UZ,1605322979,74,39.4,67.24,33.8,4.7
296,Rafsanjān,100,IR,1605322979,69,30.41,55.99,47.25,12.33
297,Ébolowa,99,CM,1605322980,93,2.9,11.15,70.7,2.89
298,Kyrenia,40,CY,1605322980,67,35.34,33.32,59.0,5.82
299,Hong Kong,99,HK,1605322977,57,22.29,114.16,77.0,1.01
300,São Luiz Gonzaga,0,BR,1605322981,68,-28.41,-54.96,68.13,7.2
301,Katangli,90,RU,1605322981,87,51.71,143.23,34.27,17.13
302,Mahibadhoo,100,MV,1605322921,83,3.78,72.97,80.91,15.14
303,Buala,28,SB,1605322981,66,-8.14,159.59,86.54,3.56
304,Hudson Bay,100,CA,1605322981,95,52.85,-102.38,20.14,6.42
305,Isernia,0,IT,1605322982,91,41.6,14.24,51.01,1.43
306,Elliot Lake,90,CA,1605322982,51,46.38,-82.63,37.4,11.41
307,Ol'ga,0,RU,1605322982,50,43.74,135.29,46.69,9.31
308,Chara,2,RU,1605322982,88,56.91,118.26,20.43,5.84
309,Kiryat Gat,20,IL,1605322983,67,31.61,34.76,66.99,2.24
310,Idah,1,NG,1605322983,87,7.11,6.73,74.43,1.7
311,Husavik,90,IS,1605322983,86,66.04,-17.34,26.6,11.07
312,Sooke,30,CA,1605322983,81,48.37,-123.73,46.4,34.45
